bloom_v1,SFinit, 0, 0, 300, 100, 100, 100, 100, 0, 100, 100
bloom_v1,SFkernel, 0, 0, 600, 400, 300, 300, 200, 300, 200, 200
bloom_v1,SFloops, 0, 0, 26, 25, 21, 20, 15, 20, 20, 21
bloom_v1,SFtests, 0, 0, 25, 23, 20, 19, 14, 19, 18, 20
bloom_v1,SFskips, 0, 0, 23, 18, 13, 13, 12, 10, 8, 7
bloom_v1,SFbits, 0, 0, 6, 8, 10, 12, 12, 14, 16, 9
bloom_v1,SFskipgood, 0, 0, 2, 3, 4, 5, 3, 7, 8, 9
bloom_v0,SFinit, 0, 0, 100, 200, 0, 100, 100, 0, 0, 100
bloom_v0,SFkernel, 0, 0, 500, 801, 400, 200, 200, 200, 300, 200
bloom_v0,SFloops, 0, 0, 27, 25, 23, 20, 15, 20, 20, 21
bloom_v0,SFtests, 0, 0, 26, 23, 22, 19, 14, 19, 18, 20
bloom_v0,SFskips, 0, 0, 24, 18, 15, 13, 12, 10, 8, 7
bloom_v0,SFbits, 0, 0, 6, 8, 10, 12, 12, 14, 16, 9
bloom_v0,SFskipgood, 0, 0, 2, 3, 4, 5, 3, 7, 8, 9
